Sample	Unique Reads	Duplicate Reads
CN_17_RG_2115_BL_ADL_F__SRR17643150__R2__2d34c3d0b3217ec39953a3a0a904cbbd	3231536.0	8784894.0
CN_17_RG_2115_BL_ADL_F__SRR17643151__R1__517fb4f51c035b9bc0e0beb14c964ddc	1482134.0	1625729.0
CN_17_RG_2115_BL_ADL_F__SRR17643151__R2__8027df563474a733ae007c3bcb94876f	1293922.0	1813941.0
CN_17_RG_2116_BL_ADL_M__SRR17643149__R1__4e04f7ea01f8f2db298d513bf750e67e	6030131.0	16358842.0
CN_17_RG_2116_BL_ADL_M__SRR17643149__R2__d43d8a299cf009813228a2f565297a7c	5215587.0	17173386.0
CN_17_RG_2121_BL_ADL_F__SRR17643148__R1__6da42680924b3e24f144eeb6436f1847	6924929.0	21287004.0
CN_17_RG_2121_BL_ADL_F__SRR17643148__R2__e155952dc0df472ca650158dce04fe20	5957683.0	22254250.0
CN_17_RG_2122_BL_ADL_F__SRR17643145__R1__4a8db3d47317d17d9b0c2d80853cb47a	5851338.0	17383159.0
CN_17_RG_2122_BL_ADL_F__SRR17643145__R2__345c6a374d16b108f224af7f57d8ae4b	5172299.0	18062198.0
CN_17_RG_2122_BL_ADL_F__SRR17643146__R1__d086543f481b14e37a21c18d268043d1	1792759.0	2310624.0
CN_17_RG_2122_BL_ADL_F__SRR17643146__R2__56680118ac074cb28a78496d665186e0	1541958.0	2561425.0
CN_17_RG_2123_BL_ADL_M__SRR17643144__R1__9ddcfc422bce5ca5643ee433b134a58b	7371908.0	18927395.0
CN_17_RG_2123_BL_ADL_M__SRR17643144__R2__f86d0cd2e13426740e72af9e6dc4915a	6121508.0	20177795.0
DE_06_R_U085067_BL_ADL_F__SRR17643235__R1__05710342cf7e8b7d57e35046a899c7c4	7053602.0	20260584.0
DE_06_R_U085067_BL_ADL_F__SRR17643235__R2__703366d07da6c4f08d6b616d5fea8d0d	6035320.0	21278866.0
DE_06_R_U149791_BL_ADL_M__SRR17643234__R1__44c08baad7f4ad8d3cb6b7e6a01c8e05	6878636.0	19749365.0
DE_06_R_U149791_BL_ADL_M__SRR17643234__R2__9836c3f9a947e775f8db4a333f060c27	5741683.0	20886318.0
DE_06_R_U168348_BL_CHK_U__SRR17643231__R1__2f999eab6cd68b59d28d513c5aead658	6402278.0	19171825.0
DE_06_R_U168348_BL_CHK_U__SRR17643231__R2__3bf17458e65c6c5dc364ba36b687f853	5525667.0	20048436.0
DE_07_R_U149791_BL_ADL_M__SRR17643233__R1__940be4085e6b0d9c7f984db0a5dd2bb8	9031114.0	13972356.0
DE_07_R_U149791_BL_ADL_M__SRR17643233__R2__cdbb3a5f74c29843b0f198fcee281821	8684912.0	14318558.0
DE_07_R_U150702_BL_ADL_M__SRR17643232__R1__6dd25ba4ebba2668ad4f279698d46c9d	7395950.0	20362613.0
DE_07_R_U150702_BL_ADL_M__SRR17643232__R2__0a1143dc24a2ff8a7eb1d7da32f81e7a	6286665.0	21471898.0
DE_07_R_U170608_BL_YRL_M__SRR17643230__R1__0c0141d8d5e918972aa448cee61b4ef9	6748259.0	16673349.0
DE_07_R_U170608_BL_YRL_M__SRR17643230__R2__ff1a078e9637f887349ec6ecb52c0cc1	5819571.0	17602037.0
